x	y
0	-2
0.01	-1.9799
0.02	-1.9596
0.03	-1.9391
0.04	-1.9184
0.05	-1.8975
0.06	-1.8764
0.07	-1.8551
0.08	-1.8336
0.09	-1.8119
0.1	-1.79
0.11	-1.7679
0.12	-1.7456
0.13	-1.7231
0.14	-1.7004
0.15	-1.6775
0.16	-1.6544
0.17	-1.6311
0.18	-1.6076
0.19	-1.5839
0.2	-1.56
0.21	-1.5359
0.22	-1.5116
0.23	-1.4871
0.24	-1.4624
0.25	-1.4375
0.26	-1.4124
0.27	-1.3871
0.28	-1.3616
0.29	-1.3359
0.3	-1.31
0.31	-1.2839
0.32	-1.2576
0.33	-1.2311
0.34	-1.2044
0.35	-1.1775
0.36	-1.1504
0.37	-1.1231
0.38	-1.0956
0.39	-1.0679
0.4	-1.04
0.41	-1.0119
0.42	-0.9836
0.43	-0.9551
0.44	-0.9264
0.45	-0.8975
0.46	-0.8684
0.47	-0.8391
0.48	-0.8096
0.49	-0.7799
0.5	-0.75
0.51	-0.7199
0.52	-0.6896
0.53	-0.6591
0.54	-0.6284
0.55	-0.5975
0.56	-0.5664
0.57	-0.5351
0.58	-0.5036
0.59	-0.4719
0.6	-0.44
0.61	-0.4079
0.62	-0.3756
0.63	-0.3431
0.64	-0.3104
0.65	-0.2775
0.66	-0.2444
0.67	-0.2111
0.68	-0.1776
0.69	-0.1439
0.7	-0.11
0.71	-0.0759
0.72	-0.0416
0.73	-0.0071
0.74	0.0276
0.75	0.0625
0.76	0.0976
0.77	0.1329
0.78	0.1684
0.79	0.2041
0.8	0.24
0.81	0.2761
0.82	0.3124
0.83	0.3489
0.84	0.3856
0.85	0.4225
0.86	0.4596
0.87	0.4969
0.88	0.5344
0.89	0.5721
0.9	0.61
0.91	0.6481
0.92	0.6864
0.93	0.7249
0.94	0.7636
0.95	0.8025
0.96	0.8416
0.97	0.8809
0.98	0.9204
0.99	0.9601
1	1
